FIGHTER_ID,FIRST,LAST,NICKNAME,URL
6135fd9665fbb74e,Mabelly,Lima,,http://ufcstats.com/fighter-details/6135fd9665fbb74e
b1f21ce050035d58,Andre,Lima,Mascote,http://ufcstats.com/fighter-details/b1f21ce050035d58
9256f591b30c073e,Felipe,Lima,Jungle Boy,http://ufcstats.com/fighter-details/9256f591b30c073e
18c49685296c60e6,Miguel,Linares,,http://ufcstats.com/fighter-details/18c49685296c60e6
a4ef92274a45143d,Emiliano,Linares,Golden Bull,http://ufcstats.com/fighter-details/a4ef92274a45143d
0e041d43a47d2e4b,Matt,Lindland,The Law,http://ufcstats.com/fighter-details/0e041d43a47d2e4b
33e00249ef08d3a4,Jake,Lindsey,The Librarian,http://ufcstats.com/fighter-details/33e00249ef08d3a4
c268b2cfebccf652,John,Lineker,Hands of Stone,http://ufcstats.com/fighter-details/c268b2cfebccf652
305d73ede05e31ad,Austin,Lingo,Lights Out,http://ufcstats.com/fighter-details/305d73ede05e31ad
a780d16cf7eed44d,Lucio,Linhares,,http://ufcstats.com/fighter-details/a780d16cf7eed44d
53c943c873cffe90,Philipe,Lins,Monstro,http://ufcstats.com/fighter-details/53c943c873cffe90
2c5f5749569eef66,Tainara,Lisboa,Thai Panther,http://ufcstats.com/fighter-details/2c5f5749569eef66
68c6cd5287b473a7,Dean,Lister,The Boogeyman,http://ufcstats.com/fighter-details/68c6cd5287b473a7
008c6e1a25751575,Wesley,Little,,http://ufcstats.com/fighter-details/008c6e1a25751575
515890922fe9ce96,Adam,Livingston,Bomb,http://ufcstats.com/fighter-details/515890922fe9ce96
93b2b7caa457cbea,James,Llontop,Goku,http://ufcstats.com/fighter-details/93b2b7caa457cbea
6448e57a9533b7e4,Abner,Lloveras,Skullman,http://ufcstats.com/fighter-details/6448e57a9533b7e4
7abce81b72fbbd9b,Brian,Lo-A-Njoe,,http://ufcstats.com/fighter-details/7abce81b72fbbd9b
31652c9267606d54,John,Lober,The Machine,http://ufcstats.com/fighter-details/31652c9267606d54
02f2a9702ba3d167,Artem,Lobov,The Russian Hammer,http://ufcstats.com/fighter-details/02f2a9702ba3d167
9caa254991a5a698,Dylan,Lockard,,http://ufcstats.com/fighter-details/9caa254991a5a698
d5bab53a1a603aac,Ryan,Loder,Man of Steel,http://ufcstats.com/fighter-details/d5bab53a1a603aac
d3d1ff3f3dfa0931,Sean,Loeffler,The Destroyer,http://ufcstats.com/fighter-details/d3d1ff3f3dfa0931
4ab36d70d1b28b58,Christian,Lohsen,Hollywood,http://ufcstats.com/fighter-details/4ab36d70d1b28b58
22e47b53e4ceb27c,David,Loiseau,The Crow,http://ufcstats.com/fighter-details/22e47b53e4ceb27c
db1f2ed63b54b9a7,Hector,Lombard,,http://ufcstats.com/fighter-details/db1f2ed63b54b9a7
6d6b9a6cb063b60d,Michael,Lombardo,The Don,http://ufcstats.com/fighter-details/6d6b9a6cb063b60d
10e04e5e81f391a0,Rocky,Long,,http://ufcstats.com/fighter-details/10e04e5e81f391a0
989be26791d0aad4,Thomas,Longacre,,http://ufcstats.com/fighter-details/989be26791d0aad4
4e30e4250cb08b61,Loma,Lookboonmee,,http://ufcstats.com/fighter-details/4e30e4250cb08b61
1497e735d9f2560a,Ange,Loosa,The Last Ninja,http://ufcstats.com/fighter-details/1497e735d9f2560a
1f70dd67ad507990,Lucas,Lopes,,http://ufcstats.com/fighter-details/1f70dd67ad507990
8270c00fae24c922,Dileno,Lopes,,http://ufcstats.com/fighter-details/8270c00fae24c922
f166e93d04a8c274,Diego,Lopes,,http://ufcstats.com/fighter-details/f166e93d04a8c274
0abcf6bc47191219,Bruno,Lopes,Brunao,http://ufcstats.com/fighter-details/0abcf6bc47191219
2aa481e98185e261,Arthur,Lopes,Demolidor,http://ufcstats.com/fighter-details/2aa481e98185e261
0db9d2486d564a3c,Ivan,Lopez,,http://ufcstats.com/fighter-details/0db9d2486d564a3c
6085ceb59087514b,Steve,Lopez,,http://ufcstats.com/fighter-details/6085ceb59087514b
9681e0ce67dc978b,Federico,Lopez,Kiko,http://ufcstats.com/fighter-details/9681e0ce67dc978b
ee624ee2a18f2a43,Jorge,Lopez,,http://ufcstats.com/fighter-details/ee624ee2a18f2a43
5148a665aa527865,Christopher,Lopez,,http://ufcstats.com/fighter-details/5148a665aa527865
2fc7e9701642ca38,Matthew,Lopez,,http://ufcstats.com/fighter-details/2fc7e9701642ca38
